iter	Passed	Remaining
0	1	113
1	2	104
2	3	98
3	3	91
4	5	95
5	5	93
6	6	91
7	7	90
8	8	88
9	9	86
10	10	85
11	11	85
12	13	91
13	14	90
14	15	89
15	16	87
16	17	86
17	18	84
18	19	83
19	20	82
20	21	80
21	22	80
22	23	78
23	24	77
24	25	76
25	26	74
26	27	75
27	28	74
28	29	73
29	31	72
30	32	71
31	33	70
32	33	69
33	34	67
34	35	66
35	36	65
36	37	64
37	38	63
38	39	62
39	40	61
40	42	60
41	42	59
42	44	58
43	45	57
44	46	56
45	46	55
46	48	54
47	49	53
48	50	52
49	51	51
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	67	33
67	68	32
68	69	31
69	70	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	78	24
76	80	24
77	82	23
78	83	22
79	84	21
80	85	20
81	87	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	14
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	102	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
